Token ID,Owner Address,Attribute role,Attribute luck,Attribute head,Attribute upperbody,Attribute lowerbody,Attribute face,Attribute figure,Attribute skin,Attribute bg,Attribute expression,Attribute skill 1,Attribute skill 2,Attribute power,Attribute token id,Attribute star,Attribute level,Attribute hatch num,Attribute vitality,Attribute free chance,Attribute used hatch num,Attribute mood
2059,0xa3A93eB7A1B113a0297DE3B969057C8e4105cE53,Patty,492,Viking Helmet,Viking Armor,Viking Boots,Goatee,Facial Design,Gloomy Patty,Blue,,,,,,,,,,,,
2060,0xb25052D357214F9015653596bA0e2D803830DD89,Patty,318,Viking Helmet,Viking Armor,Viking Boots,,,Gloomy Patty,Grey,,,,,,,,,,,,
2061,0x621d60F869d20EEae342215af2CDfF497B5F740a,Bill Duck,146,,Maple Leaf Jacket,,Captain's Beard,,Evil Bill Duck,Orange,,,,,,,,,,,,
2062,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,46,,,Blue Sneaker,,,Excited Claude,Bluish Grey,,,,,,,,,,,,
2063,0xd367CAa72C8D0746a3385d86fE85E89BD5c33A5c,Claude,144,Wide-mouth Kraken,,Blue Sneaker,,Rainbow,,Orange,,Increase power in percentage for each star character in the team,,311,2063,1,16,2/2,76,3/3,,
2064,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,432,Viking Helmet,Viking Armor,Viking Boots,Goatee,,,Orange,,Increase win rate in Team Mode in percentage,Increase win rate in Joyous Scene in percentage,603,2064,2,30,3/3,78,3/3,,
2065,0x8032f2015c7C9d14C42A9Bc6Ed791658fb1571fb,Bill Duck,118,Quiff,,,,Heart,Evil Bill Duck,Orange,,,,,,,,,,,,
2066,0x37556464D037536a0603FC824073D34E9893c880,Ashe,423,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,,Intellectual Ashe,Blue,,,,,,,,,,,,
2067,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,150,Quiff,Shell Necklace,,,,Ocean Bill Duck,Blue,,,,,,,,,,,,
2068,0x084682fb017d210A41b052578bB9070756fba040,Ashe,130,Bee Tentacles,,Red Shorts,,Arrow Face,Optimistic Ashe,Blue,,,,,,,,,,,,
2069,0x084682fb017d210A41b052578bB9070756fba040,Patty,333,Viking Helmet,Viking Armor,Viking Boots,,Lightning,,Orange,,,,,,,,,,,,
2070,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,108,,,Red Sneaker,Heart Glasses,,Optimistic Ashe,Orange,,Increase Coins earned from Joyous Scene in percentage,Increase match revenue in percentage for each fish character in the team,405,2070,1,25,2/2,76,3/3,,
2071,0x92a70284d91776D645a7A7726427077e397d9319,Bill Duck,402,Parrot Tricorne,Captain's Uniform,Exclusive Boots,Rock Shades,Tattoo,,Grey,,Increase match revenue in percentage for each fish character in the team,,421,2071,1,16,5/5,40,0/3,,
2072,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,144,Lantern Fish Hood,,Red Shorts,,Shy Face,,Orange,,Increase power in percentage if only one kind of character is in use,Increase win rate in Frigid Scene in percentage,414,2072,1,22,2/2,82,3/3,,
2073,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,278,Bee Tentacles,Bib,Bee Bottom,Flower Hairpin,,Gentle Ashe,Orange,,Increase win rate in Team Mode in percentage,Increase win rate in Story Mode in percentage,645,2073,2,30,3/3,16,3/3,,
2074,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,148,Skeleton Kerchief,,Yellow Shorts,,,,Orange,,Increase power in percentage with all duck characters,,421,2074,1,15,2/2,,3/3,,
2075,0xCe22fBed99bb83e002601C10CeeeEA1C48f2dbb4,Pop,351,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Upper Eye Lashes,,Bluish Grey,,,,,,,,,,,,
2076,0xF89880c411281f5EA0D6288E75D13c82408FA128,Pop,318,Dome with Diamond,Gold Glitter,Striped Pants,Sleeping Eye Mask,Upper Eye Lashes,Desert Pop,Grey,,,,,,,,,,,,
2077,0x2d7AD46C8C2128b37F7BBf1D70F81DB34D1176Ba,Claude,498,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Awe-inspiring,Stubble,Simplex Claude,Orange,,,,323,2077,1,1,3/3,100,3/3,,
2078,0x364Db25e9f1B32027d8c89dE3040cFf21C5ce471,Bill Duck,426,Hippie Helmet,Hippie Vest,Hippie Pants,,Tattoo,Ocean Bill Duck,Blue,,Increase win rate in Horror Scene in percentage,Increase win rate in Team Mode in percentage,521,2078,1,24,3/3,,,,
2079,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Claude,298,Dreadlocks,Tentacle Skirt,Hip-Hop Sneakers,Awe-inspiring,Stubble,,Bluish Grey,,Increase power in percentage for each duck character in the team,,372,2079,1,12,3/3,100,0/3,,
2080,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,60,Devil's Horn,,,Dali-style beard,,,Bluish Grey,,Increase match revenue in percentage for each fish character in the team,,280,2080,1,16,2/2,76,3/3,,
2081,0x038C395ea00d65A6234a4C34d8006a37Bd7a3E6A,Patty,459,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,Noble Patty,Orange,,,,,,,,,,,,
2082,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,132,Viking Helmet,,,Cardboard mask,Facial Design,,Bluish Grey,,Increase power in percentage if only one kind of character is in use,Increase win rate in Story Mode in percentage,576,2082,1,30,2/2,64,3/3,,
2083,0x700cd69fA3B03646ECfA7C5AD8a380f2E91fc80d,Pop,148,,Striped Top,,Sleeping Eye Mask,Upper Eye Lashes,Organic Pop,Blue,,,,,,,,,,,,
2084,0xbC7b2461bfaA2fB47bD8f632d0c797C3BFD93B93,Ashe,318,Bee Tentacles,Bee Top,Bee Bottom,,Arrow Face,,Blue,,,,,,,,,,,,
2085,0xe7F4c076C9902f026eD484F7c755C990D8a78AE2,Pop,136,,Colorful Top,Purple Slipper,Sleeping Eye Mask,Lower Eye Lashes,,Blue,,,,,,,,,,,,
2086,0x15CEa18Eaf608E94cb9D3915329D5838833a8644,Bill Duck,86,,Shell Necklace,Purple Pnats,,Heart,,Orange,,,,,,,,,,,,
2087,0x9D07C6c42D3333Af02472A938761A8363CAA7974,Ashe,356,Lantern Fish Hood,Bee Top,Lantern Fish Tail,Flower Hairpin,Arrow Face,Gentle Ashe,Grey,,,,,,,,,,,,
2088,0x66bB7CB075EB666Fd3767e11D91cb28c24760aaB,Ashe,108,,Bib,,,Shy Face,Gentle Ashe,Orange,,,,,,,,,,,,
2089,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Claude,140,,,Blue Shorts,Awe-inspiring,,Simplex Claude,Grey,,Increase Coins earned from Guardian Scene in percentage,Increase Coins earned from Horror Scene in percentage,379,2089,1,22,2/2,100,0/3,,
2090,0x5D22db0DDC365Dbdc0983441E2906D51855a142D,Pop,214,Nightcap,Colorful Top,Colorful Pants,Sleeping Eye Mask,,Organic Pop,Grey,,,,,,,,,,,,
2091,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Patty,250,Cow Horn Tiara,Viking Armor,Viking Boots,Goatee,,,Orange,,,,315,2091,1,1,3/3,100,0/3,,
2092,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,132,Bee Tentacles,Bib,,,Arrow Face,,Orange,,Increase power in percentage for each cloud character in the team,Increase win rate in Story Mode in percentage,344,2092,1,22,0/2,76,3/3,,
2093,0x3Fe4EdB8334ffD26887FA4d5D2e112164c0ebc7F,Pop,342,Martin's Antenna,Colorful Top,Colorful Pants,,Upper Eye Lashes,Sky Pop,Blue,,,,,,,,,,,,
2094,0x0Fb095BB4a4E531AC1525F1C9Af9E224b12E5c72,Bill Duck,406,Quiff,Captain's Uniform,Exclusive Boots,Rock Shades,Tattoo,Ocean Bill Duck,Blue,,,,,,,,,,,,
2095,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,234,Dreadlocks,Blue Boxing,Hip-Hop Sneakers,Dali-style beard,Stubble,,Bluish Grey,,Increase power in percentage if all characters in the team are different,Increase the probability of getting treasure chests in percentage,388,2095,1,20,3/3,76,3/3,,
2096,0xBAe444B1824EDbD628d3828218690B579Dc46FF6,Claude,356,Wide-mouth Kraken,Blue Boxing,Tentacle Feet,Awe-inspiring,Stubble,Simplex Claude,Bluish Grey,,,,,,,,,,,,
2097,0x37556464D037536a0603FC824073D34E9893c880,Ashe,116,,Bib,,Heart Glasses,,Optimistic Ashe,Orange,,,,,,,,,,,,
2098,0xeEE9841386820d7f7f6659E53C1e44C8E8016444,Pop,132,Striped Cap,,Purple Slipper,,,Organic Pop,Grey,,,,,,,,,,,,
2099,0x503d6fD533D1461fCDD9c5680766D538ffDbA783,Ashe,369,Bee Tentacles,Bee Top,Bee Bottom,,Arrow Face,Intellectual Ashe,Blue,,,,,,,,,,,,
2100,0xB9639c77A10b3689B9C642d469870b10566cc77f,Claude,128,,,Blue Sneaker,Awe-inspiring,Rainbow,Excited Claude,Blue,,,,,,,,,,,,
2101,0xA64634baf3755b9A9A84585d206E75016b913413,Ashe,136,Bee Tentacles,,,,Shy Face,Gentle Ashe,Grey,,,,,,,,,,,,
2102,0x2C339EBbd6C1c9F6b07fc9027ce98eAC0c674660,Pop,132,,Shell Necklace,Purple Slipper,Sleeping Eye Mask,Lower Eye Lashes,Organic Pop,Blue,,,,,,,,,,,,
2103,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,106,,Shell Necklace,Hippie Pants,,Heart,,Grey,,Increase match revenue in percentage for each fish character in the team,Increase win rate in Frigid Scene in percentage,492,2103,1,30,2/2,64,3/3,,
2104,0x78Cf3CC51E2870Ee8F949446b121EC070914e6d8,Bill Duck,24,,,,,,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
2105,0x3Fe4EdB8334ffD26887FA4d5D2e112164c0ebc7F,Claude,150,Devil's Horn,,Hip-Hop Sneakers,,Stubble,Forgiving Claude,Orange,,,,,,,,,,,,
2106,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,459,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,,Desert Pop,Bluish Grey,,Increase win rate in Story Mode in percentage,Increase power in percentage with all dinosaur characters,581,2106,1,30,3/3,88,3/3,,
2107,0xE118C8661A4a66BE6631c64DD62450D056E7e00a,Patty,436,Viking Helmet,Pirate Trenchcoat,Leather Boots,Goatee,Facial Design,Noble Patty,Orange,,,,,,,,,,,,
2108,0xd367CAa72C8D0746a3385d86fE85E89BD5c33A5c,Bill Duck,808,Parrot Tricorne,Captain's Uniform,Exclusive Boots,Captain's Beard,,Evil Bill Duck,Blue,,Increase basic power in percentage,Increase win rate in Single-player matches in percentage,458,2108,1,22,5/5,64,3/3,,
2109,0x4f1f4e994DFa1d322435EEa1ef5228C2bc89ffD5,Bill Duck,360,Hippie Helmet,Hippie Vest,Hippie Pants,,Tattoo,,Blue,,Increase power in percentage with all cloud characters,Increase Coins earned from Sweet Scene in percentage,546,2109,1,27,3/3,52,3/3,,
2110,0x621d60F869d20EEae342215af2CDfF497B5F740a,Ashe,146,Flower,,,Flower Hairpin,Shy Face,Optimistic Ashe,Orange,,,,,,,,,,,,
2111,0x405cD320d798F8710cBB3481C1504359594e3154,Claude,110,,Belt,Blue Sneaker,,Stubble,Forgiving Claude,Grey,,,,,,,,,,,,
2112,0x42c613008EB5D682c49d7D362Eb732f0298bFbC6,Claude,248,Dreadlocks,Hip Hop Jacket,Blue Sneaker,Dali-style beard,Stubble,Simplex Claude,Grey,,,,,,,,,,,,
2113,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,534,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Tattoo,Pink Bill Duck,Grey,,Decrease Coins used for upgrading in percentage,Increase power in percentage with all fish characters in percentage,623,2113,2,30,3/3,100,3/3,,
2114,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,120,,,Yellow Slipper,Cardboard mask,Facial Design,Lava Patty,Blue,,Increase power in percentage for each star character in the team,Decrease Coins used for upgrading in percentage,505,2114,1,29,2/2,76,3/3,,
2115,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,294,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,,,Blue,,Increase power in percentage for each fish character in the team,Increase match revenue in percentage for each fish character in the team,370,2115,1,20,3/3,88,3/3,,
2116,0x4E1A5fBBdBfef11C026AF7af291b76eFC21aB80e,Claude,98,,Hip Hop Jacket,Blue Shorts,,,,Grey,,,,,,,,,,,,
2117,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,116,Antler Straw Hat,,,Rock Shades,,Evil Bill Duck,Orange,,Increase win rate in Story Mode in percentage,Increase win rate in Guardian Scene in percentage,572,2117,2,30,2/2,76,3/3,,
2118,0xa998f315306c18fBD301d0f21a0C28780C6ADc7f,Claude,581,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Stubble,,Grey,,Increase Coins earned from Joyous Scene in percentage,Increase power in percentage for each dinosaur character in the team,546,2118,1,23,4/4,64,3/3,,
2119,0xfe89d2C80F69e76275167f01BE7492E0567de4C3,Patty,144,Cow Horn Tiara,Viking Armor,,Cardboard mask,Lightning,,Bluish Grey,,,,,,,,,,,,
2120,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,142,Dome with Diamond,Shell Necklace,,,Upper Eye Lashes,,Grey,,,,,,,,,,,,
2121,0xB9639c77A10b3689B9C642d469870b10566cc77f,Patty,104,,Star Backpack,Yellow Shorts,,,Lava Patty,Orange,,,,,,,,,,,,
2122,0xE118C8661A4a66BE6631c64DD62450D056E7e00a,Claude,198,Dreadlocks,Hip Hop Jacket,Blue Sneaker,,Rainbow,Excited Claude,Blue,,,,,,,,,,,,
2123,0x8EC1518C5A26f8275EE7737045A8eb21E9415e26,Claude,468,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Awe-inspiring,Rainbow,Forgiving Claude,Blue,,Increase win rate in Ancient Scene in percentage,Increase power in percentage if only one kind of character is in use,826,2123,3,30,3/3,70,0/3,,
2124,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,342,Hippie Helmet,Hippie Vest,Hippie Pants,,Heart,Evil Bill Duck,Grey,,Decrease Coins used for upgrading in percentage,Increase win rate in Frigid Scene in percentage,444,2124,1,30,3/3,88,0/3,,
2125,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,498,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,Upper Eye Lashes,Desert Pop,Orange,,Increase win rate in Guardian Scene in percentage,Increase Coins earned from Joyous Scene in percentage,690,2125,2,30,3/3,56,3/3,,
2126,0x8f2Dc7f22BdC1dEF0bBa817530b240d1477b1B92,Bill Duck,128,,Shell Necklace,Purple Pnats,Rock Shades,Heart,,Grey,,Increase win rate in Joyous Scene in percentage,Increase match revenue in percentage for each dinosaur character in the team,442,2126,1,28,2/2,76,,,
2127,0x37556464D037536a0603FC824073D34E9893c880,Claude,150,Devil's Horn,Belt,Blue Sneaker,,Stubble,Simplex Claude,Bluish Grey,,,,,,,,,,,,
2128,0x9bd104AE1b89268571456d6675818D0c968733DD,Bill Duck,483,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Tattoo,,Blue,,Increase win rate in Team Mode in percentage,Increase power in percentage for each cloud character in the team,819,2128,3,30,3/3,40,0/3,,
2129,0x10B1C0535f18b210773384967E3EE1dC3a8FccfB,Ashe,435,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Arrow Face,Optimistic Ashe,Orange,,Increase win rate in Ancient Scene in percentage,Increase Coins earned from Team Mode in percentage,586,2129,2,28,3/3,78,,,
2130,0x8a06903399500A5AcE9EB93D9ceF0d9f2D9d98F5,Ashe,120,,Bee Top,,,,Gentle Ashe,Grey,,,,,,,,,,,,
2131,0x32DDa20442727383feD538c15C56cFe42aa7dd74,Pop,282,Martin's Antenna,Gold Glitter,Colorful Pants,Golden Beard,,,Blue,,Increase win rate in Sweet Scene in percentage,Increase Coins earned from Frigid Scene in percentage,455,2131,1,22,3/3,88,,,
2132,0x37556464D037536a0603FC824073D34E9893c880,Pop,338,Martin's Antenna,Gold Glitter,Treasure Boots,Golden Beard,Lower Eye Lashes,Sky Pop,Orange,,,,,,,,,,,,
2133,0x30017c5303B300eeF85d2B2459b3F281877798d4,Patty,398,Cow Horn Tiara,Pirate Trenchcoat,Leather Boots,Goatee,Facial Design,Noble Patty,Orange,,Increase win rate in Story Mode in percentage,Decrease Diamonds used for Raise in percentage,419,2133,1,27,5/5,76,0/3,,
2134,0x6e1741220945335479Ec361806753dFC83f51B27,Patty,248,Viking Helmet,Viking Armor,Yellow Shorts,Goatee,,,Blue,,,,,,,,,,,,
2135,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,441,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,,Bluish Grey,,Increase win rate in Casual Mode in percentage,Increase win rate in all Scenes in percentage,511,2135,1,20,3/3,76,3/3,,
2136,0xfba9b68c4Bfc94109B45F76E11307154152B39e7,Bill Duck,204,Hippie Helmet,Hippie Vest,,,Heart,Ocean Bill Duck,Grey,,,,,,,,,,,,
2137,0xd7dF5180847521A912A22Ed2A5bF37165685bD41,Ashe,76,Flower,,Red Sneaker,,,Optimistic Ashe,Grey,,Increase power in percentage with all star characters in percentage,Increase power in percentage with all cloud characters,308,2137,1,20,2/2,76,0/3,,
2138,0x163109282FC584dE2b2d3D8bbCb98fa06ECfcC15,Claude,357,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Stubble,Excited Claude,Orange,,,,,,,,,,,,
2139,0x8Fca0B77343fdEA9a45b746b2915A445A4AAbD2d,Patty,136,Viking Helmet,,,,Lightning,Lava Patty,Orange,,,,,,,,,,,,
2140,0x8EC1518C5A26f8275EE7737045A8eb21E9415e26,Pop,658,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,Upper Eye Lashes,Organic Pop,Orange,,Increase match revenue in percentage for each duck character in the team,Increase basic power in value,757,2140,3,30,4/4,70,0/3,,
2141,0xA7DDB97e310A855b52F35841afDD24cA72db79EE,Patty,146,Grass,Carton,Yellow Slipper,Cardboard mask,Facial Design,,Blue,,,,,,,,,,,,
2142,0x3AE10b9887de039D6BA5D27eA92219D222176CE4,Pop,390,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Lower Eye Lashes,Sky Pop,Orange,,,,,,,,,,,,
2143,0x0E6cDe73d55880a78dD86Ba94bb46993D39FA20B,Ashe,270,Bee Tentacles,Bib,Bee Bottom,Heart Glasses,Shy Face,Intellectual Ashe,Orange,,,,,,,,,,,,
2144,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,132,Skeleton Kerchief,,,,,Gloomy Patty,Bluish Grey,,Increase power in percentage for each star character in the team,Decrease Coins used for upgrading in percentage,585,2144,1,28,2/2,100,3/3,,
2145,0x04C538Ff53122bd3C6E454025FFF5Ed682590FC7,Pop,146,Dome with Diamond,,,,Lower Eye Lashes,Organic Pop,Bluish Grey,,,,,,,,,,,,
2146,0xf358Df52327dFef4F8A7BA6468b785CBe325F391,Bill Duck,280,Parrot Tricorne,Hippie Vest,Hippie Pants,,,Ocean Bill Duck,Bluish Grey,,,,380,2146,1,9,3/3,64,0/3,,
2147,0xB7b264A5611511cCc0c2EF6de3985F3E3a996f81,Ashe,292,Red Boxing Helmet,Bee Top,Bee Bottom,Heart Glasses,,Intellectual Ashe,Orange,,Increase Coins earned from Knock-out Mode in percentage,,397,2147,1,13,3/3,64,,,
2148,0x8EC1518C5A26f8275EE7737045A8eb21E9415e26,Claude,240,Dreadlocks,Belt,Hip-Hop Sneakers,Dali-style beard,Stubble,Forgiving Claude,Orange,,Increase match revenue in percentage for each star character in the team,Increase basic power in value,605,2148,2,30,3/3,78,0/3,,
2149,0x18EeebeA5bdcBEB2De30e7434ADfc03fAe68D5AA,Bill Duck,256,Antler Straw Hat,Hippie Vest,Hippie Pants,Captain's Beard,Heart,,Blue,,Increase win rate in Team Mode in percentage,Decrease match time in percentage,455,2149,1,23,3/3,,,,
2150,0x8481cD3547A511F8F23154c206e7E95d5073C845,Claude,8,,,,,,,Grey,,,,,,,,,,,,
2151,0x509F082695496a07e577965D0F5C48A8bD288d4f,Patty,345,Viking Helmet,Viking Armor,Viking Boots,,,Lava Patty,Grey,,,,,,,,,,,,
2152,0x621d60F869d20EEae342215af2CDfF497B5F740a,Bill Duck,202,Antler Straw Hat,Hippie Vest,Hippie Pants,,,Ocean Bill Duck,Bluish Grey,,,,,,,,,,,,
2153,0x65AF47b2956e1494a9244039de129524d245588D,Ashe,112,,,Red Shorts,Flower Hairpin,,Optimistic Ashe,Blue,,,,,,,,,,,,
2154,0x42c613008EB5D682c49d7D362Eb732f0298bFbC6,Ashe,122,Flower,Bee Top,,,Arrow Face,,Bluish Grey,,,,,,,,,,,,
2155,0x747874D8CfE401Fa7C45293b3B38Bd745A7eeb70,Bill Duck,240,Quiff,Hippie Vest,Hippie Pants,,,Ocean Bill Duck,Bluish Grey,,,,,,,,,,,,
2156,0x509F082695496a07e577965D0F5C48A8bD288d4f,Bill Duck,144,Antler Straw Hat,,Hippie Pants,,Tattoo,,Orange,,,,,,,,,,,,
2157,0x9E6C393177534488A0A60c5d36FAB538aE155561,Patty,122,Grass,Viking Armor,,,Lightning,,Grey,,,,318,2157,1,1,2/2,100,3/3,,
2158,0xAC2B10515a9e437C0006492161A696D03007c642,Ashe,348,Lantern Fish Hood,Fish Bikini,Bee Bottom,Heart Glasses,Arrow Face,Gentle Ashe,Grey,,,,,,,,,,,,
2159,0x410D7C1293C7D64BF94b8C01EC26CBc1BDd1dD1B,Ashe,399,Bee Tentacles,Bee Top,Bee Bottom,,Shy Face,Gentle Ashe,Orange,,,,,,,,,,,,
2160,0xE9Ef9234fa9d0585E5f153420386c92653E2fc65,Ashe,396,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Arrow Face,,Grey,,Increase match revenue in percentage for each dinosaur character in the team,,297,2160,1,15,3/3,70,3/3,,
2161,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Ashe,212,Bee Tentacles,Red Boxing Gloves,Bee Bottom,,,Optimistic Ashe,Bluish Grey,,Increase win rate in Single-player matches in percentage,Increase power in percentage with all star characters in percentage,570,2161,1,28,3/3,94,0/3,,
2162,0xC9220672D3d48575cD502CF7614859efb01B2D08,Claude,120,,Belt,,Dali-style beard,Rainbow,Simplex Claude,Bluish Grey,,,,,,,,,,,,
2163,0x9569f721369820fD5bFF884A4F604fED81493e39,Pop,144,Nightcap,Colorful Top,,Sleeping Eye Mask,Lower Eye Lashes,,Grey,,Increase win rate in Joyous Scene in percentage,Increase win rate in Horror Scene in percentage,611,2163,2,29,2/2,64,,,
2164,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,138,Antler Straw Hat,,Purple Pnats,Rock Shades,,Evil Bill Duck,Orange,,Increase win rate in Sweet Scene in percentage,,248,2164,1,12,2/2,70,3/3,,
2165,0x9E6C393177534488A0A60c5d36FAB538aE155561,Pop,136,Striped Cap,,,,Lower Eye Lashes,Desert Pop,Blue,,Increase win rate in Ancient Scene in percentage,Decrease Coins used for upgrading in percentage,489,2165,1,21,2/2,100,3/3,,
2166,0x5fe346CD7d4f12c618bfa3a4E8DC81024eC24cad,Ashe,120,,Bib,Red Shorts,,Shy Face,Gentle Ashe,Grey,,,,,,,,,,,,
2167,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,106,,,Lantern Fish Tail,,Arrow Face,Optimistic Ashe,Grey,,Increase Coins earned from Sweet Scene in percentage,Increase power in percentage if all characters in the team are different,461,2167,1,24,2/2,100,3/3,,
2168,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,322,Lantern Fish Hood,Fish Bikini,Red Sneaker,Flower Hairpin,Arrow Face,Intellectual Ashe,Blue,,Increase Coins earned from Ancient Scene in percentage,,446,2168,1,18,4/4,52,3/3,,
2169,0xb8f4D105F546CB84B6120F3eC29b8dcdB89927E7,Bill Duck,200,Hippie Helmet,Hippie Vest,Red slippers,,,Pink Bill Duck,Bluish Grey,,Increase power in percentage for each star character in the team,Increase power in percentage with all star characters in percentage,516,2169,1,23,3/3,88,0/3,,
2170,0xC86486C7E2e99FB5Af12c704e021C7f14BEf4cb8,Ashe,417,Bee Tentacles,Bee Top,Bee Bottom,Flower Hairpin,Shy Face,,Grey,,,,,,,,,,,,
2171,0x8a06903399500A5AcE9EB93D9ceF0d9f2D9d98F5,Ashe,148,Bee Tentacles,Bib,,,Arrow Face,Optimistic Ashe,Orange,,,,,,,,,,,,
2172,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,212,Hippie Helmet,Shell Necklace,Hippie Pants,,Tattoo,,Orange,,Increase win rate in Knock-out Mode in percentage,Increase win rate in Ancient Scene in percentage,592,2172,2,30,3/3,64,3/3,,
2173,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,132,Hippie Helmet,,Purple Pnats,,,Pink Bill Duck,Grey,,Increase win rate in Knock-out Mode in percentage,Increase win rate in Horror Scene in percentage,670,2173,2,30,2/2,52,3/3,,
2174,0xa998f315306c18fBD301d0f21a0C28780C6ADc7f,Patty,388,Skeleton Kerchief,Carton,Leather Boots,Goatee,Facial Design,Noble Patty,Grey,,Increase power in percentage if all characters in the team are different,Increase luck value,617,2174,2,24,5/5,58,3/3,,
2175,0x307b0f3F6E34B7B88C62B950B95f788b05Fa3B76,Patty,94,Grass,,Yellow Slipper,,Facial Design,,Grey,,,,188,2175,1,1,2,,,,94
2176,0x5424D3Ecc264dd55d3739FF05bA27B1D66666666,Pop,630,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,,Desert Pop,Bluish Grey,,,,,,,,,,,,
2177,0x7f2569d522c0f1cf081711E5Df14bA8cE9ec1747,Claude,74,,,Blue Sneaker,,,Simplex Claude,Blue,,Increase win rate in Joyous Scene in percentage,Increase win rate in Team Mode in percentage,535,2177,1,30,2/2,88,0/3,,
2178,0x9099a00a366f36aD9F2Fc16963aB3a62Df9B2DB2,Claude,150,Wide-mouth Kraken,,Blue Shorts,,Rainbow,Excited Claude,Bluish Grey,,,,,,,,,,,,
2179,0xCc6B90c6185C7B359e1815dAEc15a868E8888888,Patty,390,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Lightning,Gloomy Patty,Orange,,,,,,,,,,,,
2180,0x644ab1B55ED7d6349790f854132D29D404Fe1524,Bill Duck,82,,Maple Leaf Jacket,,,,Ocean Bill Duck,Bluish Grey,,,,,,,,,,,,
2181,0x0aC05bBdac0c96d704e5a591FBF870BCCBd6F396,Bill Duck,98,Antler Straw Hat,,,,Tattoo,Evil Bill Duck,Grey,,,,,,,,,,,,
2182,0x8032f2015c7C9d14C42A9Bc6Ed791658fb1571fb,Claude,613,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,,Forgiving Claude,Blue,,,,,,,,,,,,
2183,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,142,,Belt,Blue Shorts,Awe-inspiring,,Excited Claude,Blue,,,,,,,,,,,,
2184,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,441,Viking Helmet,Viking Armor,Viking Boots,Goatee,Lightning,,Grey,,,,,,,,,,,,
